Code 1,Code 2,Product Name,Brand,Original Price,After CK 1,After CK 2,Ngân Sách
64335150,64335150,KNORR Hạt Nêm Từ Thịt 400g (1+1KNORR Từ Thịt 136g)/12 bộ,KNORR,34.200,30.780,,
62735364,62735364,KNORR Hạt Nêm Nấm Hương Organic 380g DT Tết 2024/16 gói,KNORR,39.567,29.675,,
68706399,68706399,KNORR Hạt Nêm Từ Thịt 400g/16 gói,KNORR,34.200,28.386,28.386,
62716661,62716661,KNORR Hạt Nêm Từ Thịt 400g (1+1KNORR Nấm 45g)/16 bộ,KNORR,34.200,28.386,28.386,
69968608,69968608,KNORR Hạt Nêm Nấm Hương Organic 170g/38 gói,KNORR,18.000,14.940,14.940,
68706395,68706395,KNORR Hạt Nêm Từ Thịt 170g/32 gói,KNORR,16.136,13.393,13.393,
68758568,68758568,KNORR Tương Ớt Cay Đậm 220g/20 chai,KNORR,14.400,11.952,11.952,
68758564,68758564,KNORR Tương Ớt 220g/20 chai,KNORR,14.400,11.952,11.952,
64301499,64301499,KNORR Nước Mắm Ngon Tròn Vị 242ml/20 chai,KNORR,11.000,9.130,9.130,
64365455,64365455,KNORR Hạt Nêm Nấm Hương Organic 70g/72 gói,KNORR,5.400,4.860,,
69712754,69712754,LIFEBUOY ST T.Xanh K.Qua 800g (1+LFB ST Dưỡng Ẩm 240g)/12 bộ,LIFEBUOY,168.500,148.280,,
62757076,62757076,LIFEBUOY ST Thảo dược&Hoa sen800g (1+ST Tết 200g)/12 bộ,LIFEBUOY,168.500,148.280,,
62757074,62757074,LIFEBUOY ST Tràm Trà Muối Hồng800g (1+ST Tết 200g)/12 bộ,LIFEBUOY,168.500,148.280,,
62757072,62757072,LIFEBUOY ST Than H.Tính Cám Gạo 800g (1+ ST Tết 200g)/12 bộ,LIFEBUOY,168.500,148.280,,
62757070,62757070,LIFEBUOY ST Trà Xanh Khổ Qua 800g (1+ ST Tết 200g)/12 bộ,LIFEBUOY,168.500,148.280,,
69973627,69973627,LIFEBUOY ST T.Xanh K.Qua 800g (1+LFB ST TH.DC 200g)/12 bộ,LIFEBUOY,168.500,148.280,,
69973629,69973629,LIFEBUOY ST Than HT C.Gạo 800g (1+LFB ST TH.DC 200g)/12 bộ,LIFEBUOY,168.500,148.280,,
68538446,68538446,LIFEBUOY sữa tắm vượt trội 10 1.1kg/6 chai,LIFEBUOY,171.400,145.690,,
68538458,68538458,LIFEBUOY sữa tắm chăm sóc da 1.1kg/6 chai,LIFEBUOY,171.400,145.690,,
69798509,69798509,LIFEBUOY ST Bảo Vệ VT 1.1kg (1+thẻ cào)/6 bộ,LIFEBUOY,171.400,145.690,,
69758272,69758272,LIFEBUOY sữa tắm Thảo dược&Hoa sen 800g/12 chai,LIFEBUOY,168.500,143.225,,
68891330,68891330,LIFEBUOY Sữa Tắm Tràm Trà Muối Hồng 800G/12 Chai,LIFEBUOY,168.500,143.225,,
68891327,68891327,LIFEBUOY Sữa Tắm Than Hoạt Tính Cám Gạo 800G/12 Chai,LIFEBUOY,168.500,143.225,,
68891325,68891325,LIFEBUOY Sữa Tắm Trà Xanh Khổ Qua 800G/12 Chai,LIFEBUOY,168.500,143.225,,
69773096,69773096,LIFEBUOY ST Bảo Vệ VT 800g (1+ LFB ST Dưỡng Ẩm 350g)/12 bộ,LIFEBUOY,156.600,137.808,,
62757064,62757064,LIFEBUOY ST Bảo Vệ Vượt Trội 800g (1+ ST Tết 200g)/12 bộ,LIFEBUOY,156.600,137.808,,
62720557,62720557,LIFEBUOY STắm BVệ VTrội 800G (1+ LFB ST BVVT200g) /12Bộ,LIFEBUOY,156.600,137.808,,
62692146,62692146,LIFEBUOY Sữa Tắm Chăm Sóc Da 800G/12 Chai,LIFEBUOY,141.800,127.620,,
62692144,62692144,LIFEBUOY Sữa Tắm Bảo Vệ Vượt Trội 800G/12 Chai,LIFEBUOY,141.800,127.620,,
68891339,68891339,LIFEBUOY Sữa Tắm Chăm Sóc Da 800G/12 Túi,LIFEBUOY,131.401,115.632,,
68891336,68891336,LIFEBUOY Sữa Tắm Bảo Vệ Vượt Trội 800G/12 Túi,LIFEBUOY,131.401,115.632,,
69647251,69647251,LIFEBUOY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội 1kg/12 túi,LIFEBUOY,121.501,91.125,,1.385.730
69647253,69647253,LIFEBUOY Nước Rửa Tay Vitamin Sữa Dưỡng Ẩm 1kg/12 túi,LIFEBUOY,121.501,91.125,,
68639743,68639743,LIFEBUOY nls botani 3.6kg/3 can,LIFEBUOY,95.101,81.786,81.786,
68755999,68755999,LIFEBUOY Dầu gội dưỡng tóc óng ả 640g/8 chai,LIFEBUOY,95.400,81.090,81.090,
68509855,68509855,LIFEBUOY Dầu gội mềm mượt kháng khuẩn 640g/8 chai,LIFEBUOY,95.400,81.090,81.090,
62710819,62710819,LIFEBUOY DG Tóc Dày Óng Ả 640g (1+1 LIFEBUOY dg 140g)/8 Bộ,LIFEBUOY,95.400,81.090,81.090,
62710821,62710821,LIFEBUOY DG Tóc Mềm Mượt 640g (1+1 LIFEBUOY dg 140g)/8 Bộ,LIFEBUOY,95.400,81.090,81.090,
69768398,69768398,LIFEBUOY Sữa Tắm Tràm Trà Muối Hồng 500g/12 chai,LIFEBUOY,88.000,74.800,,
68864834,68864834,LIFEBUOY NRT Matcha & Nha Đam 450g/12 chai,LIFEBUOY,69.700,64.124,,
68864828,68864828,LIFEBUOY NRT Bạc Bảo Vệ 450g/12 chai,LIFEBUOY,69.700,64.124,,
68864825,68864825,LIFEBUOY NRT Sữa Dưỡng Ẩm 450g/12 chai,LIFEBUOY,69.700,64.124,,
68864821,68864821,LIFEBUOY NRT Chanh Khử Mùi 450g/12 chai,LIFEBUOY,69.700,64.124,,
62757080,62757080,LIFEBUOY NRT Sữa Dưỡng Ẩm 450g (1 + NRT Tết 120g)/12 bộ,LIFEBUOY,69.700,64.124,,
62757078,62757078,LIFEBUOY NRT Bạc Bảo Vệ 450g (1 + NRT Tết 120g)/12 bộ,LIFEBUOY,69.700,64.124,,
68483542,68483542,Lifebuoy dd diệt khuẩn bảo vệ vượt trội 330ml/24 chai,Lifebuoy,64.500,54.825,,
64329526,64329526,LIFEBUOY sữa tắm chăm sóc da 350g/24 chai,LIFEBUOY,57.125,51.413,,
64329524,64329524,LIFEBUOY sữa tắm bảo vệ vượt trội 350g/24 chai,LIFEBUOY,57.125,51.413,,
69647257,69647257,LIFEBUOY Nước Rửa Tay Vitamin Sữa Dưỡng Ẩm 400g/24 túi,LIFEBUOY,53.000,48.760,,
68891345,68891345,LIFEBUOY Nước Rửa Tay Chanh Khử Mùi 400G/24 Túi,LIFEBUOY,53.000,48.760,,
69647255,69647255,LIFEBUOY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội 400g/24 túi,LIFEBUOY,53.000,48.760,,
68755997,68755997,LIFEBUOY Dầu gội dưỡng tóc óng ả 320g/24 chai,LIFEBUOY,55.800,47.430,47.430,
68538454,68538454,LIFEBUOY sữa tắm chăm sóc da 250g/24 chai,LIFEBUOY,52.800,46.464,,
68538462,68538462,LIFEBUOY sữa tắm bảo vệ vượt trội 10 250g/24 chai,LIFEBUOY,52.800,46.464,,
68639741,68639741,LIFEBUOY nls botani 1kg/12 chai,LIFEBUOY,32.800,30.176,30.176,
68584737,68584737,LIFEBUOY nước rửa tay chanh khử mùi 180g/36 chai,LIFEBUOY,31.301,28.796,,105.377.152
68584751,68584751,LIFEBUOY nước rửa tay sữa dưỡng ẩm 180g/36 chai,LIFEBUOY,31.301,28.796,,
68584757,68584757,LIFEBUOY nước rửa tay bạc bảo vệ 180g/36 chai,LIFEBUOY,31.301,28.796,,
68755995,68755995,LIFEBUOY Dầu gội dưỡng tóc óng ả 170g/36 chai,LIFEBUOY,32.401,27.540,27.540,
68483540,68483540,LIFEBUOY Dung dịch xịt khuẩn BV Vượt trội 50ml/ 60 chai,LIFEBUOY,24.900,21.165,,
68449676,68449676,LIFEBUOY gel rửa tay khô bảo vệ vượt trội 50ml/60 chai nắp,LIFEBUOY,20.500,17.425,,
68173959,68173959,LIFEBUOY xbc matcha và khổ qua 90g/72 bánh,LIFEBUOY,14.760,13.284,,
68173969,68173969,LIFEBUOY xà bông cục bảo vệ vượt trội 125g/72 bánh,LIFEBUOY,15.010,12.758,,
